food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Bacon Lettuce Tomato And Cheese Submarine Sandwich With Spread,233.0,11.0,14.0,15.7,1.3,1.4,break-fast,vegan
Egg Substitute Omelet Scrambled Or Fried Made With Oil,114.0,10.6,7.2,2.1,0.0,2.1,break-fast,vegan
White Florida Grapefruit,32.0,0.6,0.1,8.2,0.0,0.0,snacks,vegan
Bread Spanish Coffee,344.0,7.6,8.7,58.3,1.9,12.1,break-fast,vegan
Pizza With Cheese And Extra Vegetables Thin Crust,233.0,9.6,10.9,24.5,2.4,3.3,break-fast,vegan
Cream Of Wheat Instant Made With Water Fat Added In Cooking,81.0,1.5,2.0,14.1,0.5,3.6,break-fast,vegan
Egg Omelet Or Scrambled Egg With Cheese Meat And Tomatoes Fat Added In Cooking,183.0,11.5,13.9,2.7,0.3,1.7,break-fast,vegan
Turnover Meat- And Cheese-Filled Tomato-Based Sauce,253.0,9.3,10.5,30.4,2.2,7.7,dinner,vegan
Babyfood Cereal With Eggs Strained,58.0,2.2,1.5,8.0,0.0,0.0,break-fast,vegan
Tomato Noodle Soup Canned Prepared With Milk,70.0,2.7,1.4,12.2,0.6,5.8,lunch,vegan
Silk Strawberry Soy Yogurt,94.0,2.4,1.2,18.2,0.6,12.9,lunch,vegan
Corn Cakes,387.0,8.1,2.4,83.4,1.9,23.5,snacks,vegan
Diet Green Tea,4.0,0.0,0.0,0.9,0.0,0.9,break-fast,vegan
Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked With Butter Sauce,50.0,1.4,2.6,6.5,2.4,2.6,lunch,vegan
Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Fat Not Added In Cooking,131.0,8.4,0.7,23.6,6.4,4.4,lunch,vegan
Fig Dried Cooked With Sugar,137.0,1.3,0.4,35.3,3.8,31.5,snacks,vegan
Table Fat Nfs,643.0,0.6,72.6,0.4,0.0,0.0,common,vegan
Taro Cooked With Salt,142.0,0.5,0.1,34.6,5.1,0.5,lunch,vegan
Apple Cider Vinegar,21.0,0.0,0.0,0.9,0.0,0.4,common,vegan
Enchilada With Beans Meatless Red-Chile Or Enchilada Sauce,131.0,4.8,5.8,16.3,3.3,2.5,dinner,vegan
Spinach Dip Yogurt Based,158.0,7.0,13.0,3.6,0.3,3.1,lunch,vegan
Pickles Chowchow With Cauliflower Onion Mustard Sweet,121.0,1.5,0.9,26.6,1.5,23.9,lunch,vegan
Tortellini Cheese-Filled No Sauce,236.0,10.4,5.6,36.2,1.5,0.7,dinner,vegan
Light Ice Cream No Sugar Added Cone Chocolate,227.0,5.0,8.6,32.9,1.6,8.9,snacks,vegan
Salad Dressing Kraft Mayo Fat Free Mayonnaise Dressing,64.0,0.2,0.0,15.8,2.0,6.8,common,vegan
Beans Lima Immature Cooked From Frozen Ns As To Fat Added In Cooking,117.0,5.9,2.3,18.7,5.1,1.3,lunch,vegan
Egg Omelet Or Scrambled Egg Made With Animal Fat Or Meat Drippings,175.0,11.3,13.2,1.8,0.0,1.6,break-fast,vegan
Mustard Greens Cooked From Fresh Made With Butter,48.0,2.5,3.1,4.3,1.9,1.4,lunch,vegan
Turnip Cooked From Frozen Ns As To Fat Added In Cooking,41.0,1.5,2.4,4.2,1.9,2.3,lunch,vegan
Eggnog-Flavor Mix Powder Prepared With Whole Milk,95.0,2.9,3.0,14.2,0.0,12.7,break-fast,vegan
Macaroni Or Noodles With Cheese And Meat,209.0,11.8,11.0,15.1,0.7,2.4,dinner,vegan
Cactus Cooked Fat Added In Cooking Ns As To Type Of Fat,34.0,1.3,2.3,3.2,1.9,1.1,lunch,vegan
TGI Fridays Macaroni & Cheese From Kids Menu,121.0,5.0,3.4,17.4,1.0,1.6,dinner,vegan
Soup Vegetable With Beef Broth Canned Prepared With Equal Volume Water,33.0,1.2,0.8,5.4,0.7,0.8,lunch,vegan
Cowpeas (Blackeyes) Immature Seeds Cooked Boiled Drained With Salt,94.0,3.2,0.4,19.7,5.0,3.2,lunch,vegan
Beans String Green From Canned Creamed Or With Cheese Sauce,74.0,3.1,4.7,5.3,1.3,1.7,lunch,vegan
Flour And Water Gravy,80.0,2.3,0.2,16.7,0.6,0.1,lunch,vegan
Ravioli Cheese-Filled Canned,77.0,2.5,1.4,13.6,1.3,3.7,dinner,vegan
Hot Pockets Meatballs & Mozzarella Stuffed Sandwich Frozen,252.0,9.3,10.2,30.7,2.2,7.7,dinner,vegan
Mixed Cereal With Applesauce And Bananas Baby Food Jarred,83.0,0.7,0.5,18.6,1.0,11.1,break-fast,vegan
Cereal Frosted Rice,384.0,4.3,0.4,91.3,0.5,40.2,break-fast,vegan
Turnip Cooked From Canned Made With Margarine,37.0,0.7,1.8,4.9,1.9,2.9,lunch,vegan
Restaurant Chinese General Tsos Chicken,295.0,12.9,16.4,24.0,0.9,11.6,dinner,vegan
Fruit Flavored Drink Powdered Reconstituted,25.0,0.0,0.1,6.6,0.0,6.5,break-fast,vegan
Screwdriver,93.0,0.5,0.1,8.6,0.2,6.3,break-fast,vegan
Peas And Corn Cooked Made With Oil,111.0,4.2,3.6,17.7,3.8,5.0,lunch,vegan
Chimichanga Meatless,225.0,7.1,10.0,26.9,3.9,2.2,dinner,vegan
Papaya,43.0,0.5,0.3,10.8,1.7,7.8,snacks,vegan
Puddings Vanilla Dry Mix Regular,379.0,0.3,0.4,93.5,0.6,79.3,snacks,vegan
Sweet Potato Baked Peel Not Eaten Made With Butter,119.0,2.0,4.0,19.6,3.1,6.2,lunch,vegan
Peppers Pickled,40.0,0.8,0.2,9.0,1.6,6.8,snacks,vegan
Cereal (Kellogg's Frosted Krispies),384.0,4.3,0.4,91.3,0.5,40.2,break-fast,vegan
Pie Pudding Flavors Other Than Chocolate Individual Size Or Tart,334.0,4.9,17.3,39.8,1.9,9.9,snacks,vegan
Oatmeal Ns As To Regular Quick Or Instant Fat Not Added In Cooking,64.0,2.2,1.1,11.4,1.7,0.2,break-fast,vegan
Raw Portobellos (Exposed To Sunlight Or Uv),22.0,2.1,0.4,3.9,1.3,2.5,lunch,vegan
Okra Cooked From Fresh Ns As To Fat Added In Cooking,40.0,1.8,2.3,4.4,2.4,2.3,lunch,vegan
Pretzels Soft Ready-To-Eat Salted Buttered,341.0,8.1,4.0,68.2,1.7,0.2,snacks,vegan
Peas Edible-Podded Cooked Boiled Drained With Salt,40.0,3.3,0.2,6.5,2.8,4.0,lunch,vegan
Coffee Latte Decaffeinated Nonfat Flavored,42.0,2.7,0.1,7.6,0.0,7.4,break-fast,vegan
Egg Omelet Or Scrambled Egg With Meat And Tomatoes Fat Not Added In Cooking,138.0,10.8,9.1,2.8,0.4,1.8,break-fast,vegan
Black Brown Or Bayo Beans Canned Drained Made With Oil,187.0,8.2,7.4,22.6,9.4,0.3,lunch,vegan
Fish And Vegetable Soup No Potatoes Mexican Style,39.0,5.2,1.3,1.5,0.3,0.7,lunch,vegan
